0	2	1921
1	2	1778
2	0	110
2	1	3181
3	0	110
3	1	1389
4	2	3068
5	2	2243
6	2	2933
7	2	1777
8	2	439
9	0	3330
9	1	3181
10	2	2520
11	2	1239
12	2	2569
13	2	120
14	2	1013
15	2	421
16	0	110
16	1	1237
17	0	110
17	1	3447
18	2	2233
19	0	554
19	1	3447
20	2	919
21	0	2606
21	1	812
22	2	46
23	2	2346
24	2	2974
25	2	505
26	2	2486
27	2	2751
28	2	2501
29	2	1749
30	2	3347
31	0	110
31	1	2233
32	0	554
32	1	1237
33	2	2416
34	2	3339
35	2	3293
36	0	3330
36	1	1237
37	2	2054
38	0	1392
38	1	536
39	0	1392
39	1	812
40	2	350
41	2	613
42	2	1502
43	2	1897
44	0	3363
44	1	1389
45	0	554
45	1	919
46	2	1564
47	0	320
47	1	1389
48	0	3148
48	1	3181
49	2	3208
50	2	311
51	2	3107
52	0	320
52	1	3181
53	2	2652
54	2	1719
55	0	110
55	1	2713
56	0	884
56	1	1389
57	2	2762
58	2	885
59	2	2784
60	0	110
60	1	1777
61	0	3330
61	1	1662
62	2	1944
63	2	1021
64	0	554
64	1	2069
65	0	2179
65	1	2233
66	2	2878
67	2	3052
68	0	554
68	1	2957
69	2	916
70	2	1160
71	2	1235
72	2	779
73	2	148
74	0	554
74	1	1749
75	2	2122
76	0	3277
76	1	3181
77	2	1474
78	0	110
78	1	65
79	0	320
79	1	2957
80	2	595
81	0	1869
81	1	1749
82	0	2179
82	1	2469
83	0	2107
83	1	421
84	2	2522
85	0	2718
85	1	2957
86	0	2179
86	1	919
87	0	2443
87	1	439
88	2	1703
89	0	3330
89	1	2714
90	0	3291
90	1	3181
91	0	2718
91	1	402
92	0	110
92	1	664
93	0	554
93	1	664
94	2	3224
95	2	955
96	2	3193
97	2	2819
98	2	1525
99	0	110
99	1	1939
100	0	2718
100	1	2233
101	0	554
101	1	402
102	0	1859
102	1	1389
103	0	320
103	1	2069
104	2	3423
105	0	197
105	1	2187
106	0	3363
106	1	3181
107	0	110
107	1	2054
108	0	2412
108	1	919
109	0	320
109	1	1921
110	0	1629
110	1	1237
111	2	697
112	0	3330
112	1	812
113	2	3480
114	2	1582
115	2	2390
116	2	2226
117	0	2760
117	1	2714
118	2	951
119	0	1248
119	1	3447
120	2	686
121	0	110
121	1	3347
122	0	320
122	1	1662
123	2	3026
124	0	2991
124	1	1389
125	0	110
125	1	686
126	2	2593
127	0	2718
127	1	2069
128	2	2090
129	0	2179
129	1	536
130	2	2729
131	2	761
132	0	2991
132	1	421
133	2	2196
134	0	554
134	1	2180
135	2	1670
136	0	1472
136	1	3181
137	0	3330
137	1	2567
138	2	1094
139	2	2720
140	0	110
140	1	2567
141	2	3308
142	2	403
143	0	3322
143	1	919
144	0	3148
144	1	1778
145	2	3186
146	0	110
146	1	3420
147	2	1579
148	2	3226
149	0	2504
149	1	919
150	2	611
151	0	3021
151	1	3447
152	2	3302
153	2	791
154	0	391
154	1	1389
155	0	110
155	1	776
156	0	110
156	1	1760
157	0	3277
157	1	1921
158	0	1392
158	1	2957
159	2	2349
160	0	1629
160	1	1389
161	0	320
161	1	421
162	0	554
162	1	1777
163	2	2915
164	0	197
164	1	1389
165	0	1248
165	1	1237
166	0	554
166	1	3347
167	0	267
167	1	421
168	0	630
168	1	2969
169	2	1151
170	0	554
170	1	812
171	2	3303
172	0	110
172	1	893
173	0	3330
173	1	2054
174	0	2443
174	1	2651
175	2	2804
176	2	2513
177	0	1869
177	1	1389
178	2	820
179	2	2730
180	0	110
180	1	813
181	2	2210
182	2	917
183	2	3010
184	0	2412
184	1	3447
185	0	1392
185	1	1777
186	0	2760
186	1	65
187	0	809
187	1	3112
188	0	2965
188	1	1389
189	0	110
189	1	2100
190	0	3330
190	1	2471
191	2	1330
192	2	300
193	0	1248
193	1	1777
194	0	882
194	1	3181
195	0	554
195	1	65
196	2	1948
197	2	2068
198	2	3292
199	2	3077
200	0	499
200	1	439
201	2	1912
202	2	420
203	2	2405
204	0	2443
204	1	65
205	2	888
206	0	1859
206	1	1778
207	2	1135
208	2	932
209	0	2504
209	1	2233
210	2	1164
211	2	2630
212	2	1861
213	0	2947
213	1	1389
214	0	1859
214	1	3447
215	0	554
215	1	686
216	0	2507
216	1	812
217	2	3426
218	2	3469
219	2	1976
220	0	2179
220	1	2520
221	0	554
221	1	3339
222	2	1397
223	0	3330
223	1	1749
224	2	859
225	0	2107
225	1	1389
226	2	1417
227	2	1026
228	0	2736
228	1	3181
229	0	2179
229	1	1921
230	0	3148
230	1	2878
231	2	1972
232	2	2094
233	0	3277
233	1	2069
234	2	2833
235	0	110
235	1	285
236	2	3289
237	0	554
237	1	1760
238	0	2443
238	1	2714
239	2	2935
240	2	1583
241	0	2965
241	1	3181
242	0	2412
242	1	3208
243	0	2179
243	1	3208
244	0	3148
244	1	2069
245	2	2484
246	0	554
246	1	776
247	0	2179
247	1	2762
248	2	2924
249	2	217
250	0	1248
250	1	812
251	0	2504
251	1	3181
252	0	3354
252	1	3181
253	0	3277
253	1	3208
254	0	2378
254	1	421
255	0	3363
255	1	1237
256	0	1275
256	1	812
257	0	1392
257	1	2402
258	2	3287
259	0	3148
259	1	536
260	0	3148
260	1	1749
261	2	305
262	0	3330
262	1	2520
263	0	3242
263	1	1389
264	2	1762
265	0	127
265	1	1389
266	0	633
266	1	421
267	0	2585
267	1	2168
268	2	1707
269	0	3277
269	1	812
270	2	1274
271	2	1744
272	2	2882
273	0	3363
273	1	2713
274	2	2005
275	2	878
276	2	1215
277	2	534
